v,vw,o,c,h,l,t,n,timestamp
34627457.0,296.5331,294.31,298.79,299.14,293.0,1646024400000,452982,2022-02-28 05:00:00
31217778.0,295.8563,296.4,294.95,299.97,292.15,1646110800000,468639,2022-03-01 05:00:00
31873007.0,298.8646,295.36,300.19,301.47,293.698,1646197200000,531573,2022-03-02 05:00:00
27314469.0,297.4481,302.89,295.92,303.13,294.05,1646283600000,408448,2022-03-03 05:00:00
32369655.0,289.9672,294.29,289.86,295.66,287.165,1646370000000,539374,2022-03-04 05:00:00
43157178.0,281.6699,288.53,278.91,289.69,278.53,1646629200000,672964,2022-03-07 05:00:00
48157675.0,276.5819,277.8,275.85,283.96,270.0,1646715600000,700050,2022-03-08 05:00:00
35204480.0,286.2058,283.44,288.5,289.6,280.78,1646802000000,506108,2022-03-09 05:00:00
30628012.0,283.9699,283.02,285.59,286.6,280.58,1646888400000,461547,2022-03-10 05:00:00
27209330.0,283.7288,287.96,280.07,289.51,279.43,1646974800000,421226,2022-03-11 05:00:00
30660747.0,279.6999,280.34,276.44,285.3992,275.82,1647230400000,435907,2022-03-14 04:00:00
34245085.0,284.064,280.35,287.15,287.82,278.725,1647316800000,507324,2022-03-15 04:00:00
37729529.0,290.7357,289.11,294.39,294.57,283.2,1647403200000,532827,2022-03-16 04:00:00
30802133.0,293.1691,293.29,295.22,295.61,289.37,1647489600000,434753,2022-03-17 04:00:00
43222225.0,297.9485,295.37,300.43,301.0,292.73,1647576000000,416437,2022-03-18 04:00:00
28351245.0,297.8602,298.89,299.16,300.14,294.9,1647835200000,437234,2022-03-21 04:00:00
27599689.0,303.1289,299.8,304.06,305.0,298.77,1647921600000,404197,2022-03-22 04:00:00
25715377.0,300.5899,300.51,299.49,303.23,297.7201,1648008000000,359919,2022-03-23 04:00:00
24484456.0,301.84,299.14,304.1,304.2,298.315,1648094400000,318259,2022-03-24 04:00:00
22566453.0,302.5129,305.23,303.68,305.5,299.2855,1648180800000,340082,2022-03-25 04:00:00
29553438.0,308.8785,304.33,310.7,310.8,304.33,1648440000000,368660,2022-03-28 04:00:00
30393403.0,313.2741,313.91,315.41,315.82,309.05,1648526400000,423166,2022-03-29 04:00:00
28163555.0,313.7134,313.76,313.86,315.95,311.58,1648612800000,340160,2022-03-30 04:00:00
33422070.0,310.4193,313.9,308.31,315.14,307.89,1648699200000,355031,2022-03-31 04:00:00
27101029.0,308.0485,309.37,309.42,310.13,305.54,1648785600000,315032,2022-04-01 04:00:00
24335868.0,313.7554,310.09,314.97,315.11,309.71,1649044800000,300000,2022-04-04 04:00:00
23156719.0,311.7992,313.27,310.88,314.865,309.87,1649131200000,312602,2022-04-05 04:00:00
40110372.0,300.4693,305.19,299.5,307.0,296.71,1649217600000,548742,2022-04-06 04:00:00
31411155.0,300.9241,296.66,301.37,303.65,296.35,1649304000000,360492,2022-04-07 04:00:00
24361917.0,298.2833,300.44,296.97,301.12,296.28,1649390400000,309094,2022-04-08 04:00:00
34519264.0,286.8651,291.79,285.26,292.61,285.0,1649649600000,502222,2022-04-11 04:00:00
30966721.0,284.9687,289.235,282.06,290.739,280.49,1649736000000,435819,2022-04-12 04:00:00
21904429.0,285.8202,282.73,287.62,288.58,281.3,1649822400000,290613,2022-04-13 04:00:00
28221607.0,282.3705,288.09,279.83,288.305,279.32,1649908800000,381427,2022-04-14 04:00:00
20748800.0,280.1829,278.91,280.52,282.46,278.34,1650254400000,299125,2022-04-18 04:00:00
22297720.0,283.7503,279.38,285.3,286.17,278.41,1650340800000,312037,2022-04-19 04:00:00
22901807.0,286.9915,289.4,286.36,289.7,285.3702,1650427200000,313844,2022-04-20 04:00:00
29454587.0,285.5863,288.58,280.81,293.3,280.06,1650513600000,411095,2022-04-21 04:00:00
29405798.0,277.0631,281.68,274.03,283.2,273.38,1650600000000,455519,2022-04-22 04:00:00
35678852.0,276.9162,273.29,280.72,281.11,270.77,1650859200000,507837,2022-04-25 04:00:00
46512195.0,273.1034,277.5,270.22,278.3599,270.0,1650945600000,703111,2022-04-26 04:00:00
63468094.0,285.1692,282.1,283.22,290.97,279.16,1651032000000,823597,2022-04-27 04:00:00
33646570.0,286.9376,285.185,289.63,290.98,281.4562,1651118400000,448000,2022-04-28 04:00:00
37073923.0,281.5777,288.61,277.52,289.88,276.5,1651204800000,475254,2022-04-29 04:00:00
35127105.0,280.8292,277.71,284.47,284.94,276.22,1651464000000,501418,2022-05-02 04:00:00
25978605.0,281.9915,283.96,281.78,284.13,280.15,1651550400000,352891,2022-05-03 04:00:00
33598320.0,284.0704,282.59,289.98,290.88,276.73,1651636800000,460201,2022-05-04 04:00:00
43260386.0,277.791,285.54,277.35,286.35,274.34,1651723200000,593657,2022-05-05 04:00:00
37776182.0,274.9419,274.805,274.73,279.25,271.27,1651809600000,536610,2022-05-06 04:00:00
47725952.0,266.3383,270.06,264.58,272.36,263.32,1652068800000,649440,2022-05-09 04:00:00
39336424.0,269.8717,271.69,269.5,273.75,265.07,1652155200000,526747,2022-05-10 04:00:00
48975898.0,263.2184,265.68,260.55,271.36,259.3,1652241600000,633608,2022-05-11 04:00:00
51033802.0,254.7634,257.69,255.35,259.88,250.02,1652328000000,715930,2022-05-12 04:00:00
34918893.0,260.1715,257.35,261.12,263.04,255.35,1652414400000,452458,2022-05-13 04:00:00
32539933.0,260.8411,259.955,261.5,265.82,255.78,1652673600000,402395,2022-05-16 04:00:00
28828799.0,265.5584,266.11,266.82,268.33,262.46,1652760000000,346098,2022-05-17 04:00:00
31355985.0,256.42,263.0,254.08,263.6,252.77,1652846400000,414290,2022-05-18 04:00:00
32692286.0,254.4025,253.9,253.14,257.67,251.88,1652932800000,408722,2022-05-19 04:00:00
39164899.0,251.557,257.24,252.56,258.54,246.44,1653019200000,518558,2022-05-20 04:00:00
33175379.0,258.9217,255.49,260.65,261.5,253.43,1653278400000,386147,2022-05-23 04:00:00
29043904.0,257.8803,257.89,259.62,261.33,253.5,1653364800000,357104,2022-05-24 04:00:00
28547947.0,260.9506,258.14,262.52,264.58,257.125,1653451200000,340324,2022-05-25 04:00:00
25002105.0,265.2818,262.27,265.9,267.11,261.4294,1653537600000,297969,2022-05-26 04:00:00
26910824.0,271.6528,268.48,273.24,273.34,267.56,1653624000000,307860,2022-05-27 04:00:00
